	BodyShapeI	Length	Environment	Habitat	DepthRangeShallow	DepthRangeDeep	ReproMode	Fertilization	RepGuild1
Allocyttus niger	shortand/ordeep	47	saltwater	bathypelagic	560	1300	dioecism	external	nonguarders
Allocyttus verrucosus	shortand/ordeep	42.5	saltwater	bathypelagic	0	1800	dioecism	internal(oviduct)	nonguarders
Allothunnus fallai	fusiform/normal	105	saltwater	pelagic-oceanic	0	20	dioecism	external	nonguarders
Alopias pelagicus	fusiform/normal	428	saltwater	pelagic-oceanic	0	300	dioecism	internal(oviduct)	bearers
Alopias superciliosus	fusiform/normal	487.9849854	saltwater	pelagic-oceanic	0	730	dioecism	internal(oviduct)	bearers
Alopias vulpinus	fusiform/normal	573.2999878	saltwater	pelagic-oceanic	0	650	dioecism	internal(oviduct)	bearers
Alosa alosa	fusiform/normal	69	saltwater/brack/fresh	pelagic-neritic	10	300	dioecism	external	nonguarders
Alosa chrysochloris	fusiform/normal	50	saltwater/brack/fresh	pelagic-neritic	NA	NA	dioecism	external	nonguarders
Alosa fallax	fusiform/normal	60	saltwater/brack/fresh	pelagic-neritic	10	400	dioecism	external	nonguarders
Alphestes afer	fusiform/normal	33	saltwater	reef-associated	2	30	protogyny	external	nonguarders
Alphestes immaculatus	fusiform/normal	30	saltwater	demersal	1	50	protogyny	external	nonguarders
Alphestes multiguttatus	fusiform/normal	30	saltwater	demersal	NA	30	protogyny	external	nonguarders
Alticus kirkii	elongated	11	saltwater	demersal	NA	NA	dioecism	external	guarders
Alticus magnusi	elongated	NA	saltwater	demersal	30	NA	NA	NA	NA
Alticus sertatus	elongated	8	saltwater	reef-associated	0	5	dioecism	external	guarders
Aluterus monoceros	shortand/ordeep	76.19999695	saltwater	reef-associated	1	80	dioecism	external	NA
Aluterus schoepfii	shortand/ordeep	61	saltwater	reef-associated	3	900	dioecism	external	NA
Aluterus scriptus	shortand/ordeep	110	saltwater	reef-associated	3	120	NA	NA	NA
Amanses scopas	shortand/ordeep	20	saltwater	reef-associated	3	18	NA	NA	NA
Ambassis agrammus	fusiform/normal	7.5	brack/fresh	demersal	NA	NA	NA	NA	NA
Ambassis ambassis	shortand/ordeep	15	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Ambassis buruensis	fusiform/normal	8.199999809	brack/fresh	demersal	NA	2	NA	NA	NA
Ambassis dussumieri	fusiform/normal	10	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Ambassis gymnocephalus	fusiform/normal	16	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Ambassis interrupta	fusiform/normal	12	saltwater/brack/fresh	demersal	NA	NA	dioecism	external	nonguarders
Ambassis kopsii	fusiform/normal	10.19999981	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Ambassis miops	fusiform/normal	10.30000019	saltwater/brack/fresh	demersal	0	2	NA	NA	NA
Ambassis nalua	fusiform/normal	12.5	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Ambassis natalensis	fusiform/normal	9	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Ambassis safgha	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ambassis urotaenia	fusiform/normal	14	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Ambassis vachellii	fusiform/normal	6.5	saltwater/brack/fresh	demersal	NA	NA	NA	NA	NA
Amblycirrhitus bimacula	shortand/ordeep	8.5	saltwater	reef-associated	0	20	NA	NA	NA
Amblycirrhitus pinos	fusiform/normal	9.5	saltwater	reef-associated	2	46	protogyny	external	nonguarders
Amblyeleotris aurora	elongated	11	saltwater	reef-associated	5	40	NA	NA	NA
Amblyeleotris bellicauda	elongated	NA	saltwater	demersal	3	NA	NA	NA	NA
Amblyeleotris biguttata	elongated	10.39999962	saltwater	demersal	11	50	NA	NA	NA
Amblyeleotris diagonalis	elongated	11	saltwater	reef-associated	6	40	NA	NA	NA
Amblyeleotris fasciata	elongated	8	saltwater	reef-associated	4	20	NA	NA	NA
Amblyeleotris fontanesii	elongated	25	saltwater/brack	reef-associated	5	30	NA	NA	NA
Amblyeleotris guttata	elongated	11	saltwater	reef-associated	10	40	NA	NA	NA
Amblyeleotris gymnocephala	elongated	14	saltwater/brack	reef-associated	5	35	NA	NA	NA
Amblyeleotris novaecaledoniae	elongated	9.5	saltwater	reef-associated	3	20	NA	NA	NA
Amblyeleotris ogasawarensis	elongated	10	saltwater	demersal	20	35	NA	NA	NA
Amblyeleotris periophthalma	elongated	11	saltwater	reef-associated	5	35	NA	NA	NA
Amblyeleotris randalli	elongated	12	saltwater	reef-associated	NA	NA	NA	NA	NA
Amblyeleotris rubrimarginata	elongated	11	saltwater	demersal	2	20	NA	NA	NA
Amblyeleotris steinitzi	elongated	13	saltwater/brack	reef-associated	2	43	NA	NA	NA
Amblyeleotris stenotaeniata	elongated	6.599999905	saltwater	demersal	10	20	NA	NA	NA
Amblyeleotris sungami	elongated	10	saltwater	reef-associated	NA	NA	NA	NA	NA
Amblyeleotris triguttata	elongated	9	saltwater	demersal	2	17	NA	NA	NA
Amblyeleotris wheeleri	elongated	10	saltwater	reef-associated	5	40	NA	NA	NA
Amblygaster clupeoides	fusiform/normal	27.60000038	saltwater	reef-associated	0	50	dioecism	external	nonguarders
Amblygaster leiogaster	elongated	23	saltwater	pelagic-neritic	0	50	dioecism	external	nonguarders
Amblygaster sirm	fusiform/normal	27	saltwater/brack	reef-associated	10	75	dioecism	external	nonguarders
Amblyglyphidodon aureus	shortand/ordeep	13	saltwater	reef-associated	3	45	dioecism	external	guarders
Amblyglyphidodon curacao	shortand/ordeep	11	saltwater	reef-associated	1	40	dioecism	external	guarders
Amblyglyphidodon leucogaster	shortand/ordeep	13	saltwater	reef-associated	2	45	dioecism	external	guarders
Amblyglyphidodon orbicularis	shortand/ordeep	8.300000191	saltwater	demersal	NA	30	dioecism	external	guarders
Amblyglyphidodon ternatensis	shortand/ordeep	10	saltwater	reef-associated	1	15	dioecism	external	guarders
Amblygobius albimaculatus	fusiform/normal	18	saltwater/brack	reef-associated	NA	10	dioecism	external	guarders
Amblygobius decussatus	elongated	9.5	saltwater/brack	reef-associated	3	25	NA	NA	NA
Amblygobius linki	elongated	6.5	saltwater	reef-associated	1	10	NA	NA	NA
Amblygobius nocturnus	fusiform/normal	10	saltwater	reef-associated	1	30	dioecism	external	guarders
Amblygobius phalaena	elongated	15	saltwater	reef-associated	NA	52	dioecism	external	guarders
Amblygobius semicinctus	fusiform/normal	11	saltwater/brack	reef-associated	1	20	dioecism	external	guarders
Amblygobius sphynx	fusiform/normal	18	saltwater/brack	reef-associated	1	20	NA	NA	NA
Amblygobius stethophthalmus	elongated	8.5	saltwater	demersal	1	14	NA	NA	NA
Amblygobius tekomaji	Elongated	3.799999952	saltwater	demersal	NA	NA	NA	NA	NA
Amblyotrypauchen arctocephalus	Elongated	NA	saltwater	demersal	37	92	NA	NA	NA
Amblypomacentrus breviceps	fusiform/normal	8.5	saltwater	reef-associated	2	35	dioecism	external	guarders
Amblyraja georgiana	other	115	saltwater	bathydemersal	20	350	dioecism	internal(oviduct)	nonguarders
Amblyraja radiata	other	105	saltwater/brack	demersal	5	1540	dioecism	internal(oviduct)	nonguarders
Amblyraja taaf	other	90	saltwater	bathydemersal	150	600	dioecism	internal(oviduct)	nonguarders
Amblyrhynchotes honckenii	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ammodytes marinus	elongated	25	saltwater/brack	benthopelagic	10	150	dioecism	external	nonguarders
Ammodytes tobianus	elongated	20	saltwater/brack	demersal	1	96	dioecism	external	nonguarders
Ammodytoides gilli	elongated	11.60000038	saltwater	demersal	NA	NA	NA	NA	NA
Ammodytoides vagus	Elongated	15	saltwater	demersal	5	35	NA	NA	NA
Ammotretis rostratus	shortand/ordeep	30	saltwater/brack	demersal	1	80	dioecism	external	nonguarders
Amniataba caudavittata	fusiform/normal	30	saltwater/brack/fresh	benthopelagic	NA	NA	dioecism	external	guarders
Amoya signata	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amphelikturus dendriticus	elongated	7.5	saltwater	demersal	1	16	dioecism	inbroodpouchorsimilarstructure	bearers
Amphichaetodon howensis	shortand/ordeep	18	saltwater	reef-associated	10	150	dioecism	external	nonguarders
Amphiprion akallopisos	fusiform/normal	11	saltwater	reef-associated	3	25	protandry	external	guarders
Amphiprion akindynos	shortand/ordeep	9	saltwater	reef-associated	1	25	protandry	external	guarders
Amphiprion allardi	shortand/ordeep	15	saltwater	reef-associated	1	30	protandry	external	guarders
Amphiprion bicinctus	shortand/ordeep	14	saltwater	reef-associated	1	30	protandry	external	guarders
Amphiprion chrysopterus	shortand/ordeep	17	saltwater	reef-associated	1	40	protandry	external	guarders
Amphiprion clarkii	shortand/ordeep	15	saltwater	reef-associated	1	60	protandry	external	guarders
Amphiprion ephippium	shortand/ordeep	14	saltwater	reef-associated	2	15	protandry	external	guarders
Amphiprion frenatus	shortand/ordeep	14	saltwater	reef-associated	1	12	protandry	external	guarders
Amphiprion fuscocaudatus	shortand/ordeep	14	saltwater	reef-associated	5	30	protandry	external	guarders
Amphiprion latezonatus	shortand/ordeep	14	saltwater	reef-associated	10	45	protandry	external	guarders
Amphiprion mccullochi	shortand/ordeep	12	saltwater	reef-associated	2	45	protandry	external	guarders
Amphiprion melanopus	shortand/ordeep	12	saltwater	reef-associated	1	18	protandry	external	guarders
Amphiprion ocellaris	fusiform/normal	11	saltwater	reef-associated	1	15	protandry	external	guarders
Amphiprion omanensis	shortand/ordeep	14	saltwater	reef-associated	2	10	protandry	external	guarders
Amphiprion perideraion	shortand/ordeep	10	saltwater/brack	reef-associated	1	38	protandry	external	guarders
Amphiprion rubrocinctus	fusiform/normal	12	saltwater	reef-associated	1	8	protandry	external	guarders
Amphiprion sandaracinos	fusiform/normal	14	saltwater	reef-associated	3	20	protandry	external	guarders
Amphiprion sebae	fusiform/normal	16	saltwater	reef-associated	2	25	protandry	external	guarders
